Phase,Fe,S,Mg,Si,P,Ca,Ti,Cr,Mn,Ni,Cu,Zn,Se,Cd,Te,Pb,Bi,O,C,Total,Temp (K),T,change IW,log fO2, Press
sulfides,57.50,36.21,0.20,0.02,0.00,0.00,1.79,2.56,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,98.58,1833,1560,-4.78,-12.77427,1
sulfides,58.54,38.94,0.19,0.33,0.00,0.11,0.26,1.06,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.00,99.61,1833,1560,-3.38,-11.37427,1
sulfides,62.65,32.55,0.00,0.03,0.00,0.01,0.00,0.17,0.05,0.10,0.32,0.03,0.12,0.07,0.14,0.10,0.09,4.20,0.00,100.11,1883,1610,-1.08,-8.6892,1
sulfides,60.05,25.65,0.00,0.02,0.00,0.02,0.00,0.22,0.03,0.00,0.51,0.00,0.05,0.04,0.03,0.07,0.05,3.38,0.00,67.73,1883,1610,-1.25,-8.8592,1
sulfides,65.59,30.73,0.00,0.01,0.01,0.00,0.00,0.48,0.07,0.08,0.73,0.07,0.08,0.09,0.13,0.14,0.17,0.65,0.00,99.18,1883,1610,-3.31,-10.9192,1
sulfides,63.01,33.42,0.11,0.03,0.01,0.18,0.35,0.91,0.34,0.00,0.38,0.07,0.10,0.10,0.05,0.04,0.18,0.10,0.00,99.35,1883,1610,-4.95,-12.5592,1
sulfides,59.52,37.43,0.05,0.01,0.00,0.00,0.34,0.84,0.26,0.00,0.63,0.03,0.09,0.05,0.03,0.01,0.12,0.11,0.00,99.42,1883,1610,-4.86,-12.4692,1
sulfides,59.42,37.72,0.06,0.05,0.00,0.00,0.16,0.94,0.20,0.00,0.82,0.05,0.07,0.03,0.02,0.00,0.11,0.10,0.00,99.66,1883,1610,-4.78,-12.3892,1
sulfides,58.60,36.29,0.11,0.02,0.00,0.01,0.75,1.47,0.26,0.02,0.63,0.08,0.12,0.04,0.06,0.17,0.13,0.15,0.00,99.94,1883,1610,-4.38,-11.9892,1
sulfides,64.00,32.96,0.03,0.00,0.02,0.06,0.10,0.38,0.15,0.03,0.17,0.09,0.09,0.07,0.09,0.07,0.09,0.15,0.00,98.87,1883,1610,-4.04,-11.6492,1
sulfides,56.78,37.51,0.17,0.03,0.00,0.02,2.09,1.45,0.15,0.01,0.03,0.07,0.09,0.03,0.03,0.11,0.09,0.28,0.00,98.64,1883,1610,-3.01,-10.6192,1
sulfides,57.87,37.55,0.20,0.00,0.03,0.00,0.85,0.50,0.26,0.00,0.10,0.08,0.09,0.03,0.03,0.00,0.09,0.11,0.00,97.71,1883,1610,-4.06,-11.6692,1
metals,86.72,0.56,0.00,11.18,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.48,100.35,1833,1560,-4.78,-12.77427,1
metals,79.96,0.20,0.00,16.79,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.73,94.87,1833,1560,-3.38,-11.37427,1
metals,92.49,1.34,0.00,0.01,0.09,0.00,0.00,0.10,0.01,0.00,0.05,0.01,0.03,0.02,0.00,0.00,0.05,0.00,5.92,100.66,1883,1610,-3.31,-10.9192,1
metals,90.33,1.10,0.00,3.68,0.10,0.00,0.00,0.04,0.01,0.00,0.04,0.01,0.03,0.02,0.00,0.00,0.02,0.00,3.86,100.03,1883,1610,-4.95,-12.5592,1
metals,89.59,0.86,0.00,2.83,0.03,0.00,0.00,0.15,0.00,0.00,0.05,0.00,0.02,0.01,0.01,0.00,0.01,0.00,4.27,98.24,1883,1610,-4.86,-12.4692,1
metals,84.19,0.38,0.00,10.90,0.03,0.00,0.00,0.05,0.00,0.00,0.12,0.00,0.02,0.02,0.01,0.00,0.02,0.00,1.59,97.67,1883,1610,-4.78,-12.3892,1
metals,80.73,0.40,0.00,15.74,0.05,0.00,0.00,0.08,0.00,0.00,0.11,0.00,0.01,0.00,0.02,0.00,0.01,0.00,0.84,98.52,1883,1610,-4.38,-11.9892,1
metals,65.34,0.06,0.00,32.35,0.00,0.00,0.00,0.13,0.01,0.00,0.15,0.00,0.01,0.01,0.02,0.02,0.01,0.00,0.07,98.39,1883,1610,-4.04,-11.6492,1
metals,38.57,0.11,0.00,57.04,0.01,0.00,0.00,0.23,0.05,0.00,0.12,0.01,0.00,0.01,0.03,0.01,0.05,0.00,0.00,96.87,1883,1610,-3.01,-10.6192,1
metals,54.15,0.04,0.00,42.09,0.01,0.00,0.00,0.19,0.00,0.00,0.12,0.00,0.01,0.01,0.01,0.00,0.01,0.00,0.01,97.06,1883,1610,-4.06,-11.6692,1
metals,86.11,0.50,0.00,0.05,4.46,0.00,0.00,0.05,0.01,0.00,0.05,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.00,92.40,1884,1611,-4.06,-11.6692,1